,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22/01/1900,extra che mi vengono in mente ma non sono importatini per la tavola prospect al momento (anche se potrebbero comparire come variabili nella descrizione volendo),,,,ancoraggio,,,,,NOTE PER L'UFFICIO TECNICO,
CODICE,IMMAGINE 1,DIMENSIONI cm.,H.CADUTA cm.,ETA USO anni,AREA IMPATTO cm.,GOMMA MQ,SFUSO,GRANDE+,GRANDE+VALORE cm.,PESANTE+,PESANTE+VALORE kg.,PARTI DI RICAMBIO,DESCRIZIONE ITA,DESCRIZIONE ENG,ATTIVITA LUDICHE,MATERIALI,ACCESSIBILITA',NORMATIVA,UTILIZZATORI,IMMAGINE quote,DISCLAIMER,DATA,TIPOLOGIA,LINEA,3D,3D alu,,titolo_IT,titolo_EN,titolo_DE,DESCRIZIONE DE,,
testo,immagine prodotto,numero,numero,numero,numero,numero,numero,testo,numero,testo,numero,icona 1x (sempre uguale),testo,testo,icone flaggabili 20x utlizzabili in contemporanea 14x,"icone flaggabili 9x, visualizzabili in contemporanea 5x",icone flaggabili 4x visualizzabili 4x,testo,numero,quote con prospetti ecc..,testo ita/eng,testo,testo,testo,,,,,,,,,
linea MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xm10,,130x141x227,<100,>2,422x432,"19,25","19,25",tetto/roof,130x130x49,pedana/platform,"24,16",,"COMPOSTA DA:


- Montanti in legno bilamellare sez. cm 9x9 
- pedana cm 112x112 con assito massello smussato sp. mm 33
- tetto quattro falde in polietilene stampo rotazionale riciclabile
- parapetto in polietilene stampo rotazionale riciclabile
- pannello sole in polietilene stampo rotazionale riciclabile
- seduta e mensola 
- kit bulloneria zincata per assemblaggio 



","COMPOSED OF:
 
- Glulam two-layer struts: cross section 9x9 cm
- 112x112 cm platform with bevelled solid wood planking: 33 mm thick
- rotationally-moulded, recyclable polyethylene four-pitched roof
- rotationally-moulded, recyclable polyethylene parapet
- rotationally-moulded, recyclable polyethylene panel with sun design
- seat and shelf
- kit with galvanised bolts for assembly 
",,,,EN-1176,3,,"
",28/08/2024,,Max,https://sketchfab.com/models/13a3b866294547ae9729e51fb0033edd/embed,,,,,,,AGGIORNATO,"COMPOSED OF:

- Uprights in bilaminated wood section cm 9x9
- platform cm 112x112 with solid beveled boarding thickness mm 33
- four-pitched roof in recyclable rotational-molded polyethylene
- parapet in recyclable rotational-molded polyethylene
- sun panel in recyclable rotational-molded polyethylene
- seat and shelf
- galvanized bolt kit for assembly

"
xm11,,178x130x226,<100,>3,422x470,20,20,tetto/roof,130x130x49,pedana/platform,"24,16",,"COMPOSTA DA:


- Montanti in legno bilamellare sez. cm 9x9 
- pedana cm 112x112 con assito massello smussato sp. mm 33
- tetto quattro falde in polietilene stampo rotazionale riciclabile
- parapetto in polietilene stampo rotazionale riciclabile
- pannello sole in polietilene stampo rotazionale riciclabile
- seduta e mensola 
- puff fiore in pe con palo in ferro
- kit bulloneria zincata per assemblaggio 
","COMPOSED OF:
- uprights in bilamellar wood sect. cm 9x9 
- platform cm 112x112 with solid chamfered planking thickness mm 33
- four-pitch roof made of recyclable rotational molded polyethylene
- parapet in recyclable rotational molded polyethylene
- sun panel in recyclable rotational molded polyethylene
- seat and shelf 
- pe flower puff with iron pole
- galvanized hardware kit for assembly ",,,,EN-1176,4,,,28/08/2024,,Max,https://sketchfab.com/models/bfe559f926c3407ea93efb927c042274/embed,,,,,,,AGGIORNATO,"COMPOSED OF:

- Uprights in bilaminated wood section cm 9x9
- platform cm 112x112 with solid beveled boarding thickness mm 33
- four-pitched roof in recyclable rotational-molded polyethylene
- parapet in recyclable rotational-molded polyethylene
- sun panel in recyclable rotational-molded polyethylene
- seat and shelf
- flower puff in PE with iron pole
- galvanized bolt kit for assembly
"
xm90i,,310x193x306,84,>3,483x550,26,,,,,,,"COMPOSTA DA:


- montanti in legno bilamellare sez. cm 9x9 + staffe al suolo
- pianale in massello sp. mm 33
- scala in legno con gradini antiscivolo h cm 84
- tetto quattro falde in legno verniciato con colori all' acqua
- parapetti a stecche in legno colorato
- scivolo h cm 84 con piano discesa in alluminio con sponde in pe
- kit bulloneria zincata per assemblaggio in tappi plastici
","COMPOSED OF:
 

- Glulam two-layer struts: cross section 9x9 cm + ground brackets
- 112x112 cm solid wood platform: 33 mm thick
- set of wooden non-slip steps, h 84 cm
- four-pitched coloured wood roof
- coloured wood slatted parapets
- aluminium slide with sides in recycled/recyclable polyethylene
- kit with galvanised bolts for assembly and plastic plugs
",,"Legno trattato, Alluminio, Polietilene",,EN-1176,4,,,,,Max,,,,,,,,da caricare,
xm90,,264x195x283,84,>3,605x484,"23,5","25,75",scivolo/slide,"175x55,5x102",scala/stairchare,57,,"COMPOSTA DA:

 
- montanti in legno bilamellare sez. cm 9x9 + staffe al suolo
- pianali cm 112x112 in alluminio e polietilene
- scala in legno con gradini antiscivolo h cm 84
- tetto quattro falde in polietilene stampo rotazionale
- parapetti in polietilene stampo rotazionale
- scivolo h cm 84 in polietilene a stampo unico rotazionale
- il polietilene è riciclabile al 100%
- kit bulloneria zincata per assemblaggio 
","COMPOSED OF:
 

- Glulam two-layer struts: cross section 9x9 cm + ground brackets
- 112x112 cm solid wood platforms: 33 mm thick
- set of non-slip steps, h 84 cm
- rotationally-moulded polyethylene four-pitched roof
- rotationally-moulded polyethylene parapets
- rotationally-moulded polyethylene slide: h 84 cm 
- polyethylene is 100% recyclable
- kit with galvanised bolts for assembly 
",,,,EN-1176,3,,,29/08/2024,,Max,https://sketchfab.com/models/f6c217d8a9ed4c528d104bdb1181dbf2/embed,,,,,,,AGGIORNATO,"COMPOSED OF:

- uprights in bilaminated wood section cm 9x9 + brackets on the ground
- platforms cm 112x112 in aluminum and polyethylene
- wooden ladder with non-slip steps h cm 84
- four-pitched roof in rotational-molded polyethylene
- parapets in rotational-molded polyethylene
- slide h cm 84 in single rotational-molded polyethylene
- polyethylene is 100% recyclable
- galvanized bolt kit for assembly
"
xm100ip,,500x371x367,144,>3,750x825,45,,,,,,,"COMPOSTA DA:

- montanti in legno bilamellare sez. cm 9x9 + staffe al suolo
- pianali cm 112x112 in massello sp. mm 33
- scala in legno con gradini antiscivolo h cm 144
- tetto quattro falde in legno colorato
- parapetti a stecche in legno colorato
- scivolo h cm 144 con piano discesa in alluminio con sponde in pe
- palestrina con sartia / fune / spalliera a pioli
- kit bulloneria zincata per assemblaggio in tappi plastici","COMPOSED OF:

- Glulam two-layer struts: cross section 9x9 cm + ground brackets
- 112x112 cm solid wood platform: 33 mm thick
- set of wooden non-slip steps, h 144 cm
- four-pitched coloured wood roof
- coloured wood slatted parapets
- aluminium slide with sides in recycled/recyclable polyethylene
- gym with climbing net/rope/ladder
- kit with galvanised bolts for assembly and plastic plugs",,"Legno trattato, Alluminio, Polietilene",,EN-1176,8,,,,,Max,,,,,,,,da caricare,
xm100i pur,,370x244x367,144,>3,620x550,"30,25",,,,,,,"COMPOSTA DA:

- montanti in legno bilamellare sez. cm 9x9 + staffe al suolo
- pianali cm 112x112 in massello sp. mm 33
- scala in legno con gradini antiscivolo h cm 144
- tetto quattro falde in legno colorato
- parapetti a stecche in legno colorato
- scivolo h cm 144 con piano discesa in alluminio con sponde in pe
- kit bulloneria zincata per assemblaggio in tappi plastici","COMPOSED OF:

- Glulam two-layer struts: cross section 9x9 cm + ground brackets
- 112x112 cm solid wood platform: 33 mm thick
- set of wooden non-slip steps, h 144 cm
- four-pitched coloured wood roof
- coloured wood slatted parapets
- aluminium slide with sides in recycled/recyclable polyethylene
- kit with galvanised bolts for assembly and plastic plugs",,"Legno trattato, Alluminio, Polietilene",,EN-1176,6,,,,,Max,,,,,,,,da caricare,
xm100i,,370x244x367,144,>3,610x550,"30,25",,,,,,,"COMPOSTA DA:

- montanti in legno bilamellare sez. cm 9x9 + staffe al suolo
- pianali in massello sp. mm 33
- scala in legno con gradini antiscivolo h cm 144
- tetto quattro falde in legno verniciato con colori all' acqua
- parapetti a stecche in legno colorato
- scivolo h cm 144 con piano discesa in alluminio con 
sponde in pe
- panchina in hpl sp. mm 15 smussata
- kit bulloneria zincata per assemblaggio in tappi plastici","COMPOSED OF:

- Glulam two-layer struts: cross section 9x9 cm + ground brackets
- 112x112 cm solid wood platforms: 33 mm thick
- set of wooden non-slip steps, h 144 cm
- coloured wood slatted parapets
- four-pitched coloured wood roof
- aluminium slide with sides in 
recycled/recyclable polyethylene
- HPL bench: 15 mm thick, bevelled
- kit with galvanised bolts for assembly and plastic plugs",,"Legno trattato, Alluminio, Polietilene, Lastre HPL",,EN-1176,6,,,,,Max,,,,,,,,da caricare,
